Afghanistan,AFG,747.1105472,746.5671184,749.0689675,755.9223882,766.0657067,768.5551798,771.3320324,774.3877325,776.1675385,778.0227028,778.1290643,778.2801775,769.0336031,757.6505684,747.3341122,733.9886554,721.5662466,707.1887744,693.4486633,677.845507,662.6169461,649.7256284,637.161646,626.1621494,616.6693787,608.3015182,601.5117373,597.029332
Albania,ALB,328.8702051,341.01389,332.5505735,321.7097593,308.55295,316.2362117,336.3327086,345.2043365,347.5613609,351.044926,353.4203805,352.6976698,361.2005545,371.0265593,374.9742407,368.3825335,358.763966,339.9289863,336.9151425,328.2437002,322.9100936,319.5234784,316.3276615,314.583768,313.639088,310.4932952,307.1128029,304.1954064
Algeria,DZA,416.8678954,407.9395346,400.9948071,395.3893049,387.1437504,383.0818258,378.4775021,373.3111981,367.0339452,366.4071093,363.3301436,358.6814676,353.6476699,352.4969805,346.7136657,340.4561723,334.1856262,328.0785537,321.7407349,316.0801114,312.1666276,308.2452714,302.601537,298.0269547,293.7284125,289.0245837,282.5895028,278.3638771
Angola,AGO,421.8738108,421.1539117,420.6555984,423.5908461,425.2446106,422.4853938,413.0680629,408.2192284,416.0614424,409.3707482,404.8870281,393.3881564,384.5742667,380.4438021,378.0858457,364.9868885,356.5180644,344.0177959,336.4514903,328.7227314,320.4132892,313.3852881,307.1059837,300.0315406,287.9931483,283.1517212,279.1456211,276.0446488
Antigua and Barbuda,ATG,284.1303374,277.1716541,278.9077203,279.5579366,280.6876197,284.4043621,279.5024269,278.7717712,271.5331776,264.1515269,256.9644427,251.0546163,244.5811072,239.9520151,233.2992444,228.5674653,223.1036539,216.4138204,211.7634875,207.5421784,205.5266885,203.3597535,200.6649608,198.248131,197.8317123,194.3107126,192.8147648,191.5109217
Argentina,ARG,338.4649382,326.0300889,323.3927958,309.9837763,292.8032097,285.948453,279.5169319,272.5404262,269.7047527,268.3925757,251.3762988,247.7226613,247.2713203,245.530243,232.2156095,222.4215719,217.867055,220.5860592,208.6275457,206.3622132,204.9061007,203.1582789,200.3557004,197.9608493,193.1410608,192.1972872,193.129921,191.0321439
Armenia,ARM,480.4609453,508.1881754,537.7509837,548.7459284,546.6350101,537.4344059,528.8819014,506.811507,493.0722623,488.8193015,473.2366718,461.8390436,468.0348103,464.0458839,444.5856946,429.5651993,421.0427737,410.7912115,404.189927,396.2587896,387.9319923,376.022594,364.1050746,351.8896722,345.0186149,341.5349865,339.4902553,341.0098298
Australia,AUS,264.2676796,250.9981206,245.7730784,234.4377899,232.046985,221.8244883,215.197466,205.6400336,195.8757588,186.075744,179.0520373,170.1182159,164.9291651,156.1454267,147.7999109,139.3521241,133.7816914,132.3012377,128.8712486,123.1131932,117.4530038,114.2273622,108.5537152,105.0894904,105.1701382,105.3453639,105.9813916,107.7914246
Austria,AUT,319.188812,316.8317091,310.4775305,306.6487516,296.9657366,291.9490491,288.871439,276.7510066,271.3315742,263.0755891,249.8878739,235.2407434,227.4790577,219.1378707,204.6634993,196.1878342,185.5617095,182.0271114,176.0832285,174.6830498,167.3824172,163.1627367,159.0439176,154.8346461,151.0528967,149.3014859,145.4491869,145.1827142
Azerbaijan,AZE,454.9006692,489.2409609,544.1264649,579.1757962,620.2391921,626.6662779,633.7304702,628.9780466,628.7157789,616.5911525,607.9306242,624.2477729,657.079318,682.4991286,672.4242805,678.4792382,669.1597889,632.7240968,622.4219069,611.7261452,609.1467409,605.503157,594.412966,577.0034179,569.2291432,561.3327654,556.9871227,559.8121168
Bahamas,BHS,299.5264149,293.3069305,291.7449655,294.0155756,295.0924916,294.8762104,298.3582466,280.5227119,268.7803294,274.2869548,266.9669581,267.1203482,258.4418865,248.9908942,250.3908002,243.5117263,246.3091872,238.1828416,239.9959037,243.7502209,242.4644619,242.4396842,237.0113021,235.0365662,235.0962192,236.9815366,236.5669121,235.9542337
Bahrain,BHR,499.8111541,500.2901043,500.3167058,491.4314836,480.3588421,467.0601122,457.4280413,448.1615509,426.6684684,395.219456,354.7452136,326.6440475,306.5230004,302.7516208,290.6635081,265.6803405,239.9666518,225.0882864,208.4913722,192.4355725,182.6155734,176.2334861,168.7495349,161.3976077,156.2139184,154.6740157,152.6510027,151.688959
Bangladesh,BGD,277.1892846,259.1037254,261.5088153,258.9328612,258.2012147,264.257952,264.8914624,266.3690481,267.5172919,272.7723228,286.3775711,296.7806733,307.1150321,321.6026612,334.7010357,350.8627386,361.0466888,373.2564969,379.7371767,376.6876935,376.8674697,356.1783174,336.425331,322.8197517,313.3434137,303.1672671,299.240674,298.0025268
Barbados,BRB,284.9892369,279.6447234,275.4947258,273.1511745,273.192357,260.9518593,249.1283459,245.2520382,234.2111936,221.4936828,212.9108765,201.924889,200.4830625,197.0793196,192.8004657,190.0391537,183.4180379,177.0973793,174.6198329,168.1275651,167.1036026,167.6509352,165.6817932,166.7464478,168.877169,169.6871908,169.703968,170.0496975
Belarus,BLR,448.5199585,460.8115021,474.925653,516.7825206,524.1362495,542.1007904,539.366715,546.8931872,558.1757292,575.3712195,547.0527217,572.5448302,604.9224878,587.1827938,575.867292,584.0631621,562.5600679,533.5044173,529.8612341,532.6357129,532.9338283,536.587719,485.8399025,481.2072631,467.4326747,447.6966924,443.950371,443.1292119
